Date,Close,High,Low,Open,Volume
2021-12-21,169.435654,169.641331,165.645159,168.035028,91185900
2021-12-22,172.031219,172.246700,168.612921,169.484634,92135300
2021-12-23,172.658020,173.216316,171.668778,172.236862,68356600
2021-12-27,176.624817,176.712964,173.431804,173.451383,74919600
2021-12-28,175.606216,177.604310,174.861837,176.458351,79144300
2021-12-29,175.694382,176.918699,174.479854,175.645406,62348900
2021-12-30,174.538605,176.859920,174.430864,175.782515,59773000
2021-12-31,173.921570,175.547451,173.617927,174.430875,64062300
2022-01-03,178.270309,179.122444,174.058672,174.176201,104487900
2022-01-04,176.007767,179.181201,175.439682,178.877573,99310400
2022-01-05,171.325958,176.468088,171.051713,175.919596,94537600
2022-01-06,168.465973,171.698172,168.113369,169.151587,96904000
2022-01-07,168.632477,170.562001,167.515901,169.337684,86709100
2022-01-10,168.652069,168.955697,164.714663,165.605969,106765600
2022-01-11,171.482697,171.580633,167.310231,168.779411,76138300
2022-01-12,171.923477,173.539570,171.228074,172.501351,74805200
2022-01-13,168.652069,172.991040,168.260279,172.168303,84505800
2022-01-14,169.514008,170.209411,167.574679,167.819542,80440800
2022-01-18,166.311172,168.994865,165.929186,167.986029,90956700
2022-01-19,162.814545,167.564900,162.530510,166.507088,94815000
2022-01-20,161.129898,166.193671,160.806677,163.549150,91420500
2022-01-21,159.073029,162.912484,158.965288,161.041724,122848900
2022-01-24,158.299240,158.965276,151.521425,156.732124,162294600
2022-01-25,156.497055,159.415822,153.793769,155.713489,115798400
2022-01-26,156.408920,161.012348,154.577347,160.140635,108275300
2022-01-27,155.948593,160.473664,155.027904,159.112224,121954600
2022-01-28,166.830307,166.849900,159.455024,162.305237,179935700
2022-01-31,171.188873,171.404354,166.027149,166.663803,115541600
2022-02-01,171.022369,171.247639,168.769623,170.434691,86213900
2022-02-02,172.227066,172.266253,169.768644,171.159466,84914300
2022-02-03,169.347504,172.618890,168.583531,170.895042,89418100
2022-02-04,169.063110,170.740116,167.386104,168.366806,82465400
2022-02-07,168.347198,170.592998,167.650894,169.524037,77251200
2022-02-08,171.456024,171.965993,168.121630,168.415844,74829200
2022-02-09,172.878021,173.240876,171.524649,172.652464,71285000
2022-02-10,168.798294,172.093451,168.239302,170.779315,90865900
2022-02-11,165.385468,169.739784,164.797041,169.004258,98670700
2022-02-14,165.620850,166.307338,163.345615,164.139981,86185500
2022-02-15,169.455399,169.612314,166.964423,167.670530,62527400
2022-02-16,169.220032,169.994779,166.768278,168.533544,61177400
2022-02-17,165.620850,168.592374,165.218758,167.729352,69589300
2022-02-18,164.071335,167.248798,162.982756,166.542706,82772700
2022-02-22,161.148865,163.473122,159.020729,161.796116,91162800
2022-02-23,156.980835,162.943485,156.667003,162.345256,90009200
2022-02-24,159.599335,159.707212,149.066597,149.635406,141147500
2022-02-25,161.668610,161.933388,157.765408,160.678092,91974200
2022-02-28,161.933395,162.227609,159.295306,159.913153,95056600
2022-03-01,160.050446,163.384839,158.844187,161.521497,83474400
2022-03-02,163.345612,164.130176,159.805279,161.217491,79724800
2022-03-03,163.021988,165.650275,162.355118,165.218764,76678400
2022-03-04,160.021027,162.355100,158.971684,161.315559,83737200
2022-03-07,156.225739,161.835352,155.970747,160.207384,96418800
2022-03-08,154.401611,159.736629,152.793262,155.754984,131148300
2022-03-09,159.805267,160.256396,156.333591,158.363635,91454900
2022-03-10,155.460785,157.294692,152.969795,157.108356,105342000
2022-03-11,151.743927,156.206121,151.518370,155.862870,96970100
2022-03-14,147.713211,151.145665,147.203257,148.527195,108732100
2022-03-15,152.096970,152.567717,147.477875,147.987829,92964300
2022-03-16,156.510117,156.912208,151.479129,154.019142,102300200
2022-03-17,157.520248,157.892920,154.587961,155.549044,75615400
2022-03-18,160.815384,161.305735,156.676824,157.412349,123511700
2022-03-21,162.188416,163.139697,159.864143,160.354494,95811400
2022-03-22,165.562027,166.150439,161.727481,162.315893,81532000
2022-03-23,166.925186,169.308283,164.414578,164.748028,98062700
2022-03-24,170.710678,170.779319,166.925171,167.758758,90131400
2022-03-25,171.348129,171.897320,169.416147,170.524344,80546200
2022-03-28,172.211151,172.338632,168.680621,168.847338,90371900
2022-03-29,175.506332,175.555355,172.936885,173.280136,100589400
2022-03-30,174.339310,176.143797,173.289952,175.104256,92633200
2022-03-31,171.240265,174.594262,171.034311,174.407926,103049300
2022-04-01,170.946060,171.505067,168.621803,170.671465,78751300
2022-04-04,174.996353,175.045391,171.073548,171.201044,76468400
2022-04-05,171.681564,174.859042,171.053916,174.074478,73401800
2022-04-06,168.513916,170.279181,166.846727,169.033687,89058800
2022-04-07,168.817917,170.014374,166.572118,167.856834,77594700
2022-04-08,166.807480,168.464867,165.934656,168.464867,76575500
2022-04-11,162.551254,165.767954,162.306079,165.454137,72246700
2022-04-12,164.424408,166.591750,163.424088,164.777461,79265200
2022-04-13,167.111511,167.739160,163.551575,164.159605,70618900
2022-04-14,162.100113,167.964718,161.854938,167.327253,75329400
2022-04-18,161.884354,163.384825,160.413302,160.756538,69023900
2022-04-19,164.169388,164.581296,160.746750,161.835329,67723800
2022-04-20,164.002655,165.620821,162.894473,165.503127,67929800
2022-04-21,163.208298,168.219682,162.708145,165.650249,87227800
2022-04-22,158.667633,164.630298,158.383236,163.247521,84882400
2022-04-25,159.736633,160.021030,155.401935,158.010589,96046400
2022-04-26,153.773941,159.207019,153.695483,159.118759,95623200
2022-04-27,153.548401,156.706245,152.381364,152.901134,88063200
2022-04-28,160.481964,161.344986,155.862854,156.176686,130216800
2022-04-29,154.607529,162.992526,154.215254,158.716669,131747600
2022-05-02,154.911591,155.176369,150.312099,153.685714,123055300
2022-05-03,156.402237,157.608510,153.303232,155.097902,88966500
2022-05-04,162.816040,163.267154,156.186489,156.588581,108256500
2022-05-05,153.744553,160.913477,151.959669,160.687920,130525300
